"Dist";"Z0";"Z1"
0;2860.48;2858.42
2;2861.13;2858.42
4;2861.48;2858.42
6;2860.61;2857.14
8;2861.24;2859.81
10;2861.24;2859.81
12;2862.33;2858.9
14;2863.76;2858.9
16;2863.42;2861.65
18;2864.69;2861.11
20;2864.27;2861.11
22;2865.14;2861.11
24;2865.75;2864.64
26;2865.36;2864.64
28;2865.6;2864.64
30;2864.99;2865.22
32;2864.29;2865.48
34;2863.33;2865.48
36;2862.7;2863.49
38;2862.84;2863.49
40;2862.96;2861.69
42;2863.28;2861.69
44;2864.04;2857.41
46;2864.07;2857.41
48;2864.59;2854.79
50;2864.62;2850.71
52;2864.5;2850.71
54;2864.24;2850.71
56;2864.03;2844.72
58;2863.73;2844.72
60;2864.66;2844.72
62;2864.92;2842.43
64;2864.89;2840.69
66;2864.63;2840.69
68;2864.25;2838.7
70;2862.9;2838.7
72;2862.19;2838.7
74;2861.79;2835.04
76;2862.11;2835.04
78;2862.07;2835.04
80;2861.64;2835.04
82;2862.72;2831.6
84;2862.72;2831.6
86;2865.14;2831.6
88;2866.3;2829.49
90;2867.86;2829.01
92;2869.3;2829.01
94;2869.3;2827.09
96;2870.05;2827.09
